순번,위도,경도,,
71,35.20432771,129.1160641,"[35.20432771, 129.1160641]","[35.20432771, 129.1160641]"
72,35.20389753,129.1174281,"[35.20389753, 129.1174281]","[35.20389753, 129.1174281]"
73,35.19807781,129.1179983,"[35.19807781, 129.1179983]","[35.19807781, 129.1179983]"
74,35.1995214,129.1189938,"[35.1995214, 129.1189938]","[35.1995214, 129.1189938]"
75,35.16768935,129.180189,"[35.16768935, 129.180189]","[35.16768935, 129.180189]"
76,35.19747576,129.1186528,"[35.19747576, 129.1186528]","[35.19747576, 129.1186528]"
77,35.19744847,129.1188228,"[35.19744847, 129.1188228]","[35.19744847, 129.1188228]"
78,35.16067179,129.1659829,"[35.16067179, 129.1659829]","[35.16067179, 129.1659829]"
79,35.19804657,129.1178603,"[35.19804657, 129.1178603]","[35.19804657, 129.1178603]"
80,35.19796701,129.1180166,"[35.19796701, 129.1180166]","[35.19796701, 129.1180166]"
81,35.19793362,129.1178811,"[35.19793362, 129.1178811]","[35.19793362, 129.1178811]"
82,35.19803278,129.1181259,"[35.19803278, 129.1181259]","[35.19803278, 129.1181259]"
83,35.16083078,129.1659289,"[35.16083078, 129.1659289]","[35.16083078, 129.1659289]"
84,35.19618878,129.1185031,"[35.19618878, 129.1185031]","[35.19618878, 129.1185031]"
85,35.15941403,129.1447534,"[35.15941403, 129.1447534]","[35.15941403, 129.1447534]"
86,35.15896081,129.1475143,"[35.15896081, 129.1475143]","[35.15896081, 129.1475143]"
87,35.15866217,129.1473692,"[35.15866217, 129.1473692]","[35.15866217, 129.1473692]"
88,35.19307525,129.1293751,"[35.19307525, 129.1293751]","[35.19307525, 129.1293751]"
89,35.18453069,129.1262239,"[35.18453069, 129.1262239]","[35.18453069, 129.1262239]"
90,35.19489258,129.1290688,"[35.19489258, 129.1290688]","[35.19489258, 129.1290688]"
91,35.19475997,129.1306827,"[35.19475997, 129.1306827]","[35.19475997, 129.1306827]"
92,35.19943358,129.1188231,"[35.19943358, 129.1188231]","[35.19943358, 129.1188231]"
93,35.16573963,129.1575064,"[35.16573963, 129.1575064]","[35.16573963, 129.1575064]"
