순번,위도,경도,,
1094,35.21266318,129.072822,"[35.21266318, 129.072822]","[35.21266318, 129.072822]"
1095,35.19441773,129.0876769,"[35.19441773, 129.0876769]","[35.19441773, 129.0876769]"
1096,35.21209537,129.073144,"[35.21209537, 129.073144]","[35.21209537, 129.073144]"
1097,35.21059935,129.0826095,"[35.21059935, 129.0826095]","[35.21059935, 129.0826095]"
1098,35.20072215,129.0996296,"[35.20072215, 129.0996296]","[35.20072215, 129.0996296]"
1099,35.20065649,129.0994539,"[35.20065649, 129.0994539]","[35.20065649, 129.0994539]"
1100,35.19884997,129.0984496,"[35.19884997, 129.0984496]","[35.19884997, 129.0984496]"
1101,35.21002259,129.0801307,"[35.21002259, 129.0801307]","[35.21002259, 129.0801307]"
1102,35.20151544,129.1044283,"[35.20151544, 129.1044283]","[35.20151544, 129.1044283]"
1103,35.20275911,129.0602825,"[35.20275911, 129.0602825]","[35.20275911, 129.0602825]"
1104,35.20250697,129.0635305,"[35.20250697, 129.0635305]","[35.20250697, 129.0635305]"
1105,35.19664499,129.0655917,"[35.19664499, 129.0655917]","[35.19664499, 129.0655917]"
1106,35.20059365,129.0997096,"[35.20059365, 129.0997096]","[35.20059365, 129.0997096]"
1107,35.19921407,129.0539087,"[35.19921407, 129.0539087]","[35.19921407, 129.0539087]"
1108,35.21322686,129.083113,"[35.21322686, 129.083113]","[35.21322686, 129.083113]"
1109,35.21412008,129.0792181,"[35.21412008, 129.0792181]","[35.21412008, 129.0792181]"
1110,35.21666682,129.0783503,"[35.21666682, 129.0783503]","[35.21666682, 129.0783503]"
1111,35.21688208,129.0784686,"[35.21688208, 129.0784686]","[35.21688208, 129.0784686]"
1112,35.21599283,129.0800234,"[35.21599283, 129.0800234]","[35.21599283, 129.0800234]"
1113,35.21717203,129.085986,"[35.21717203, 129.085986]","[35.21717203, 129.085986]"
1114,35.20310994,129.0815594,"[35.20310994, 129.0815594]","[35.20310994, 129.0815594]"
1115,35.20357388,129.0797163,"[35.20357388, 129.0797163]","[35.20357388, 129.0797163]"
1116,35.19871717,129.0619145,"[35.19871717, 129.0619145]","[35.19871717, 129.0619145]"
1117,35.19838238,129.0707288,"[35.19838238, 129.0707288]","[35.19838238, 129.0707288]"
1118,35.19965342,129.0702518,"[35.19965342, 129.0702518]","[35.19965342, 129.0702518]"
1119,35.20749438,129.0820596,"[35.20749438, 129.0820596]","[35.20749438, 129.0820596]"
1120,35.20907291,129.0981029,"[35.20907291, 129.0981029]","[35.20907291, 129.0981029]"
1121,35.20820842,129.0989961,"[35.20820842, 129.0989961]","[35.20820842, 129.0989961]"
1122,35.2016327,129.058689,"[35.2016327, 129.058689]","[35.2016327, 129.058689]"
1123,35.20468344,129.0843727,"[35.20468344, 129.0843727]","[35.20468344, 129.0843727]"
1124,35.21111815,129.0958649,"[35.21111815, 129.0958649]","[35.21111815, 129.0958649]"
1125,35.19614114,129.060906,"[35.19614114, 129.060906]","[35.19614114, 129.060906]"
1126,35.20409388,129.088257,"[35.20409388, 129.088257]","[35.20409388, 129.088257]"
1127,35.20266676,129.0636437,"[35.20266676, 129.0636437]","[35.20266676, 129.0636437]"
1128,35.20659743,129.0851416,"[35.20659743, 129.0851416]","[35.20659743, 129.0851416]"
1129,35.21246087,129.093899,"[35.21246087, 129.093899]","[35.21246087, 129.093899]"
1130,35.20792277,129.0917367,"[35.20792277, 129.0917367]","[35.20792277, 129.0917367]"
1131,35.20758765,129.0977515,"[35.20758765, 129.0977515]","[35.20758765, 129.0977515]"
1132,35.20755742,129.097863,"[35.20755742, 129.097863]","[35.20755742, 129.097863]"
1133,35.21151332,129.1006314,"[35.21151332, 129.1006314]","[35.21151332, 129.1006314]"
1134,35.19668441,129.0536602,"[35.19668441, 129.0536602]","[35.19668441, 129.0536602]"
1135,35.20377714,129.0894322,"[35.20377714, 129.0894322]","[35.20377714, 129.0894322]"
1136,35.21713386,129.0860828,"[35.21713386, 129.0860828]","[35.21713386, 129.0860828]"
1137,35.20042309,129.0642957,"[35.20042309, 129.0642957]","[35.20042309, 129.0642957]"
1138,35.20659487,129.072529,"[35.20659487, 129.072529]","[35.20659487, 129.072529]"
1139,35.20150046,129.0850163,"[35.20150046, 129.0850163]","[35.20150046, 129.0850163]"
1140,35.21592643,129.0873852,"[35.21592643, 129.0873852]","[35.21592643, 129.0873852]"
1141,35.20363525,129.0798844,"[35.20363525, 129.0798844]","[35.20363525, 129.0798844]"
1142,35.20682394,129.0689546,"[35.20682394, 129.0689546]","[35.20682394, 129.0689546]"
1143,35.20026538,129.0906382,"[35.20026538, 129.0906382]","[35.20026538, 129.0906382]"
1144,35.19455134,129.0878703,"[35.19455134, 129.0878703]","[35.19455134, 129.0878703]"
1145,35.20120051,129.0866523,"[35.20120051, 129.0866523]","[35.20120051, 129.0866523]"
1146,35.20055545,129.0842474,"[35.20055545, 129.0842474]","[35.20055545, 129.0842474]"
1147,35.21139195,129.0658442,"[35.21139195, 129.0658442]","[35.21139195, 129.0658442]"
1148,35.19245237,129.1076715,"[35.19245237, 129.1076715]","[35.19245237, 129.1076715]"
1149,35.19420009,129.1086991,"[35.19420009, 129.1086991]","[35.19420009, 129.1086991]"
1150,35.19497803,129.05692,"[35.19497803, 129.05692]","[35.19497803, 129.05692]"
1151,35.1951672,129.0580658,"[35.1951672, 129.0580658]","[35.1951672, 129.0580658]"
1152,35.19524535,129.0586795,"[35.19524535, 129.0586795]","[35.19524535, 129.0586795]"
1153,35.19653364,129.0865899,"[35.19653364, 129.0865899]","[35.19653364, 129.0865899]"
1154,35.19610018,129.0628993,"[35.19610018, 129.0628993]","[35.19610018, 129.0628993]"
1155,35.1959092,129.063572,"[35.1959092, 129.063572]","[35.1959092, 129.063572]"
1156,35.19561516,129.0605405,"[35.19561516, 129.0605405]","[35.19561516, 129.0605405]"
1157,35.19582273,129.0615267,"[35.19582273, 129.0615267]","[35.19582273, 129.0615267]"
1158,35.19137205,129.1071231,"[35.19137205, 129.1071231]","[35.19137205, 129.1071231]"
1159,35.2083966,129.1035129,"[35.2083966, 129.1035129]","[35.2083966, 129.1035129]"
1160,35.19898645,129.0846141,"[35.19898645, 129.0846141]","[35.19898645, 129.0846141]"
1161,35.1992893,129.08486,"[35.1992893, 129.08486]","[35.1992893, 129.08486]"
1162,35.1101238,129.0137442,"[35.1101238, 129.0137442]","[35.1101238, 129.0137442]"
1163,35.19726931,129.0834068,"[35.19726931, 129.0834068]","[35.19726931, 129.0834068]"
1164,35.19420368,129.0918544,"[35.19420368, 129.0918544]","[35.19420368, 129.0918544]"
1165,35.19468885,129.0923883,"[35.19468885, 129.0923883]","[35.19468885, 129.0923883]"
1166,35.1945408,129.1116336,"[35.1945408, 129.1116336]","[35.1945408, 129.1116336]"
1167,35.19441283,129.1128262,"[35.19441283, 129.1128262]","[35.19441283, 129.1128262]"
1168,35.19876471,129.0651465,"[35.19876471, 129.0651465]","[35.19876471, 129.0651465]"
1169,35.19740502,129.0655596,"[35.19740502, 129.0655596]","[35.19740502, 129.0655596]"
1170,35.19490233,129.0638739,"[35.19490233, 129.0638739]","[35.19490233, 129.0638739]"
1171,35.19458765,129.0639688,"[35.19458765, 129.0639688]","[35.19458765, 129.0639688]"
1172,35.19452712,129.0642974,"[35.19452712, 129.0642974]","[35.19452712, 129.0642974]"
1173,35.1947841,129.0641109,"[35.1947841, 129.0641109]","[35.1947841, 129.0641109]"
1174,35.20608365,129.1022802,"[35.20608365, 129.1022802]","[35.20608365, 129.1022802]"
1175,35.20633819,129.1025594,"[35.20633819, 129.1025594]","[35.20633819, 129.1025594]"
1176,35.20453555,129.1013318,"[35.20453555, 129.1013318]","[35.20453555, 129.1013318]"
1177,35.20270237,129.0995729,"[35.20270237, 129.0995729]","[35.20270237, 129.0995729]"
1178,35.20081774,129.0981844,"[35.20081774, 129.0981844]","[35.20081774, 129.0981844]"
1179,35.20095836,129.0983915,"[35.20095836, 129.0983915]","[35.20095836, 129.0983915]"
1180,35.1956132,129.1081171,"[35.1956132, 129.1081171]","[35.1956132, 129.1081171]"
1181,35.19507649,129.1090166,"[35.19507649, 129.1090166]","[35.19507649, 129.1090166]"
1182,35.19504519,129.1091638,"[35.19504519, 129.1091638]","[35.19504519, 129.1091638]"
1183,35.19511364,129.1093618,"[35.19511364, 129.1093618]","[35.19511364, 129.1093618]"
1184,35.19668903,129.1032979,"[35.19668903, 129.1032979]","[35.19668903, 129.1032979]"
1185,35.19657436,129.1031372,"[35.19657436, 129.1031372]","[35.19657436, 129.1031372]"
1186,35.19651308,129.1048176,"[35.19651308, 129.1048176]","[35.19651308, 129.1048176]"
1187,35.19700694,129.1013988,"[35.19700694, 129.1013988]","[35.19700694, 129.1013988]"
1188,35.1983581,129.0963356,"[35.1983581, 129.0963356]","[35.1983581, 129.0963356]"
1189,35.19812545,129.0963738,"[35.19812545, 129.0963738]","[35.19812545, 129.0963738]"
1190,35.19824607,129.0967539,"[35.19824607, 129.0967539]","[35.19824607, 129.0967539]"
1191,35.19891029,129.0970533,"[35.19891029, 129.0970533]","[35.19891029, 129.0970533]"
1192,35.20080501,129.088846,"[35.20080501, 129.088846]","[35.20080501, 129.088846]"
1193,35.20194017,129.0837819,"[35.20194017, 129.0837819]","[35.20194017, 129.0837819]"
1194,35.20180971,129.0836483,"[35.20180971, 129.0836483]","[35.20180971, 129.0836483]"
1195,35.20157641,129.0839192,"[35.20157641, 129.0839192]","[35.20157641, 129.0839192]"
1196,35.20169677,129.0840666,"[35.20169677, 129.0840666]","[35.20169677, 129.0840666]"
1197,35.20292496,129.0814974,"[35.20292496, 129.0814974]","[35.20292496, 129.0814974]"
1198,35.20589065,129.07451,"[35.20589065, 129.07451]","[35.20589065, 129.07451]"
1199,35.20746004,129.0707671,"[35.20746004, 129.0707671]","[35.20746004, 129.0707671]"
1200,35.20665356,129.0726891,"[35.20665356, 129.0726891]","[35.20665356, 129.0726891]"
1201,35.2054674,129.0680498,"[35.2054674, 129.0680498]","[35.2054674, 129.0680498]"
1202,35.20398795,129.0670272,"[35.20398795, 129.0670272]","[35.20398795, 129.0670272]"
1203,35.20190501,129.0656026,"[35.20190501, 129.0656026]","[35.20190501, 129.0656026]"
1204,35.20032884,129.0646776,"[35.20032884, 129.0646776]","[35.20032884, 129.0646776]"
1205,35.20064732,129.0647474,"[35.20064732, 129.0647474]","[35.20064732, 129.0647474]"
1206,35.19851975,129.0755136,"[35.19851975, 129.0755136]","[35.19851975, 129.0755136]"
1207,35.19627789,129.0710806,"[35.19627789, 129.0710806]","[35.19627789, 129.0710806]"
1208,35.19643598,129.0718751,"[35.19643598, 129.0718751]","[35.19643598, 129.0718751]"
1209,35.19592939,129.0694201,"[35.19592939, 129.0694201]","[35.19592939, 129.0694201]"
1210,35.19521377,129.0660863,"[35.19521377, 129.0660863]","[35.19521377, 129.0660863]"
1211,35.1950883,129.0664326,"[35.1950883, 129.0664326]","[35.1950883, 129.0664326]"
1212,35.19533232,129.0666042,"[35.19533232, 129.0666042]","[35.19533232, 129.0666042]"
1213,35.19548271,129.0662982,"[35.19548271, 129.0662982]","[35.19548271, 129.0662982]"
1214,35.21798676,129.0843462,"[35.21798676, 129.0843462]","[35.21798676, 129.0843462]"
1215,35.21833689,129.0846369,"[35.21833689, 129.0846369]","[35.21833689, 129.0846369]"
1216,35.20489902,129.0779828,"[35.20489902, 129.0779828]","[35.20489902, 129.0779828]"
1217,35.20466514,129.0774409,"[35.20466514, 129.0774409]","[35.20466514, 129.0774409]"
1218,35.2040874,129.0780151,"[35.2040874, 129.0780151]","[35.2040874, 129.0780151]"
1219,35.20403235,129.0783596,"[35.20403235, 129.0783596]","[35.20403235, 129.0783596]"
1220,35.19935843,129.0778234,"[35.19935843, 129.0778234]","[35.19935843, 129.0778234]"
1221,35.19963741,129.0779969,"[35.19963741, 129.0779969]","[35.19963741, 129.0779969]"
1222,35.15437003,129.06835,"[35.15437003, 129.06835]","[35.15437003, 129.06835]"
1223,35.17467404,129.0637818,"[35.17467404, 129.0637818]","[35.17467404, 129.0637818]"
1224,35.1519711,129.020441,"[35.1519711, 129.020441]","[35.1519711, 129.020441]"
1225,35.15209013,129.0623465,"[35.15209013, 129.0623465]","[35.15209013, 129.0623465]"
1226,35.15218077,129.0622264,"[35.15218077, 129.0622264]","[35.15218077, 129.0622264]"
1227,35.17500212,129.0637642,"[35.17500212, 129.0637642]","[35.17500212, 129.0637642]"
1228,35.17360719,129.0487976,"[35.17360719, 129.0487976]","[35.17360719, 129.0487976]"
1229,35.17376155,129.048841,"[35.17376155, 129.048841]","[35.17376155, 129.048841]"
1230,35.17194404,129.0485562,"[35.17194404, 129.0485562]","[35.17194404, 129.0485562]"
1231,35.17392698,129.0693885,"[35.17392698, 129.0693885]","[35.17392698, 129.0693885]"
1232,35.17182592,129.0485358,"[35.17182592, 129.0485358]","[35.17182592, 129.0485358]"
1233,35.17174179,129.0486691,"[35.17174179, 129.0486691]","[35.17174179, 129.0486691]"
1234,35.15007745,129.0199767,"[35.15007745, 129.0199767]","[35.15007745, 129.0199767]"
1235,35.16509117,129.0369468,"[35.16509117, 129.0369468]","[35.16509117, 129.0369468]"
1236,35.15008587,129.0298813,"[35.15008587, 129.0298813]","[35.15008587, 129.0298813]"
1237,35.14805015,129.0559536,"[35.14805015, 129.0559536]","[35.14805015, 129.0559536]"
1238,35.16312711,129.0518694,"[35.16312711, 129.0518694]","[35.16312711, 129.0518694]"
1239,35.1482373,129.055848,"[35.1482373, 129.055848]","[35.1482373, 129.055848]"
1240,35.14841846,129.0556032,"[35.14841846, 129.0556032]","[35.14841846, 129.0556032]"
1241,35.15171265,129.0354779,"[35.15171265, 129.0354779]","[35.15171265, 129.0354779]"
1242,35.15187805,129.0354632,"[35.15187805, 129.0354632]","[35.15187805, 129.0354632]"
1243,35.15170894,129.037527,"[35.15170894, 129.037527]","[35.15170894, 129.037527]"
1244,35.14974213,129.0175641,"[35.14974213, 129.0175641]","[35.14974213, 129.0175641]"
1245,35.17166614,129.0587806,"[35.17166614, 129.0587806]","[35.17166614, 129.0587806]"
1246,35.15446109,129.0579771,"[35.15446109, 129.0579771]","[35.15446109, 129.0579771]"
1247,35.16404117,129.0517049,"[35.16404117, 129.0517049]","[35.16404117, 129.0517049]"
1248,35.16429619,129.0516566,"[35.16429619, 129.0516566]","[35.16429619, 129.0516566]"
1249,35.15236239,129.0623787,"[35.15236239, 129.0623787]","[35.15236239, 129.0623787]"
1250,35.15237305,129.0498841,"[35.15237305, 129.0498841]","[35.15237305, 129.0498841]"
1251,35.15274044,129.0203689,"[35.15274044, 129.0203689]","[35.15274044, 129.0203689]"
1252,35.15015535,129.0203179,"[35.15015535, 129.0203179]","[35.15015535, 129.0203179]"
1253,35.1787699,129.0532778,"[35.1787699, 129.0532778]","[35.1787699, 129.0532778]"
1254,35.16325353,129.052159,"[35.16325353, 129.052159]","[35.16325353, 129.052159]"
1255,35.17950174,129.0525428,"[35.17950174, 129.0525428]","[35.17950174, 129.0525428]"
1256,35.15317171,129.0683671,"[35.15317171, 129.0683671]","[35.15317171, 129.0683671]"
1257,35.15036397,129.0492355,"[35.15036397, 129.0492355]","[35.15036397, 129.0492355]"
1258,35.15000566,129.0299945,"[35.15000566, 129.0299945]","[35.15000566, 129.0299945]"
1259,35.15347219,129.0366197,"[35.15347219, 129.0366197]","[35.15347219, 129.0366197]"
1260,35.17915732,129.073289,"[35.17915732, 129.073289]","[35.17915732, 129.073289]"
1261,35.17897243,129.0736404,"[35.17897243, 129.0736404]","[35.17897243, 129.0736404]"
1262,35.15733933,129.0547402,"[35.15733933, 129.0547402]","[35.15733933, 129.0547402]"
1263,35.15788138,129.0547177,"[35.15788138, 129.0547177]","[35.15788138, 129.0547177]"
1264,35.17024182,129.071923,"[35.17024182, 129.071923]","[35.17024182, 129.071923]"
1265,35.15449974,129.0362503,"[35.15449974, 129.0362503]","[35.15449974, 129.0362503]"
1266,35.16054409,129.065149,"[35.16054409, 129.065149]","[35.16054409, 129.065149]"
1267,35.16033727,129.0656755,"[35.16033727, 129.0656755]","[35.16033727, 129.0656755]"
1268,35.15761448,129.0623253,"[35.15761448, 129.0623253]","[35.15761448, 129.0623253]"
1269,35.15763373,129.0624655,"[35.15763373, 129.0624655]","[35.15763373, 129.0624655]"
1270,35.15792556,129.0623226,"[35.15792556, 129.0623226]","[35.15792556, 129.0623226]"
1271,35.15433641,129.0623629,"[35.15433641, 129.0623629]","[35.15433641, 129.0623629]"
1272,35.15448822,129.0622241,"[35.15448822, 129.0622241]","[35.15448822, 129.0622241]"
1273,35.15466405,129.0623611,"[35.15466405, 129.0623611]","[35.15466405, 129.0623611]"
1274,35.15551205,129.0623556,"[35.15551205, 129.0623556]","[35.15551205, 129.0623556]"
1275,35.1594847,129.0623075,"[35.1594847, 129.0623075]","[35.1594847, 129.0623075]"
1276,35.15099578,129.057843,"[35.15099578, 129.057843]","[35.15099578, 129.057843]"
1277,35.16027259,129.034872,"[35.16027259, 129.034872]","[35.16027259, 129.034872]"
1278,35.15835032,129.0275313,"[35.15835032, 129.0275313]","[35.15835032, 129.0275313]"
1279,35.15886728,129.0273451,"[35.15886728, 129.0273451]","[35.15886728, 129.0273451]"
1280,35.15965359,129.0270699,"[35.15965359, 129.0270699]","[35.15965359, 129.0270699]"
1281,35.14700298,129.0199202,"[35.14700298, 129.0199202]","[35.14700298, 129.0199202]"
1282,35.15133575,129.0202468,"[35.15133575, 129.0202468]","[35.15133575, 129.0202468]"
1283,35.16530439,129.0369732,"[35.16530439, 129.0369732]","[35.16530439, 129.0369732]"
1284,35.16520036,129.0392372,"[35.16520036, 129.0392372]","[35.16520036, 129.0392372]"
1285,35.16559437,129.039142,"[35.16559437, 129.039142]","[35.16559437, 129.039142]"
1286,35.1636332,129.0395984,"[35.1636332, 129.0395984]","[35.1636332, 129.0395984]"
1287,35.16262073,129.0398286,"[35.16262073, 129.0398286]","[35.16262073, 129.0398286]"
1288,35.16527455,129.0532622,"[35.16527455, 129.0532622]","[35.16527455, 129.0532622]"
1289,35.14484709,129.062875,"[35.14484709, 129.062875]","[35.14484709, 129.062875]"
1290,35.16130983,129.055954,"[35.16130983, 129.055954]","[35.16130983, 129.055954]"
1291,35.16149069,129.0563765,"[35.16149069, 129.0563765]","[35.16149069, 129.0563765]"
1292,35.1518944,129.0683758,"[35.1518944, 129.0683758]","[35.1518944, 129.0683758]"
1293,35.14494381,129.0627757,"[35.14494381, 129.0627757]","[35.14494381, 129.0627757]"
1294,35.15459049,129.0578059,"[35.15459049, 129.0578059]","[35.15459049, 129.0578059]"
1295,35.14503773,129.0628677,"[35.14503773, 129.0628677]","[35.14503773, 129.0628677]"
1296,35.15445979,129.057626,"[35.15445979, 129.057626]","[35.15445979, 129.057626]"
1297,35.15435419,129.0578127,"[35.15435419, 129.0578127]","[35.15435419, 129.0578127]"
1298,35.1649208,129.0278391,"[35.1649208, 129.0278391]","[35.1649208, 129.0278391]"
1299,35.14492718,129.0617957,"[35.14492718, 129.0617957]","[35.14492718, 129.0617957]"
1300,35.15370762,129.0387578,"[35.15370762, 129.0387578]","[35.15370762, 129.0387578]"
1301,35.15392799,129.0389383,"[35.15392799, 129.0389383]","[35.15392799, 129.0389383]"
1302,35.15392632,129.0386539,"[35.15392632, 129.0386539]","[35.15392632, 129.0386539]"
1303,35.15050214,129.0216447,"[35.15050214, 129.0216447]","[35.15050214, 129.0216447]"
1304,35.16545316,129.0695678,"[35.16545316, 129.0695678]","[35.16545316, 129.0695678]"
1305,35.15134832,129.0510485,"[35.15134832, 129.0510485]","[35.15134832, 129.0510485]"
1306,35.15372412,129.0444245,"[35.15372412, 129.0444245]","[35.15372412, 129.0444245]"
1307,35.15324897,129.0494241,"[35.15324897, 129.0494241]","[35.15324897, 129.0494241]"
1308,35.16225218,129.0431056,"[35.16225218, 129.0431056]","[35.16225218, 129.0431056]"
1309,35.15470642,129.0187363,"[35.15470642, 129.0187363]","[35.15470642, 129.0187363]"
1310,35.15904547,129.0580621,"[35.15904547, 129.0580621]","[35.15904547, 129.0580621]"
1311,35.16742412,129.036886,"[35.16742412, 129.036886]","[35.16742412, 129.036886]"
1312,35.16588372,129.0659913,"[35.16588372, 129.0659913]","[35.16588372, 129.0659913]"
1313,35.1675083,129.0376823,"[35.1675083, 129.0376823]","[35.1675083, 129.0376823]"
1314,35.16414452,129.0653286,"[35.16414452, 129.0653286]","[35.16414452, 129.0653286]"
1315,35.16234172,129.0363602,"[35.16234172, 129.0363602]","[35.16234172, 129.0363602]"
1316,35.16257528,129.0363137,"[35.16257528, 129.0363137]","[35.16257528, 129.0363137]"
1317,35.17329009,129.077863,"[35.17329009, 129.077863]","[35.17329009, 129.077863]"
1318,35.1701188,129.0350214,"[35.1701188, 129.0350214]","[35.1701188, 129.0350214]"
1319,35.17012871,129.034372,"[35.17012871, 129.034372]","[35.17012871, 129.034372]"
1320,35.1661344,129.0653872,"[35.1661344, 129.0653872]","[35.1661344, 129.0653872]"
1321,35.17033977,129.0344981,"[35.17033977, 129.0344981]","[35.17033977, 129.0344981]"
1322,35.1699925,129.0347397,"[35.1699925, 129.0347397]","[35.1699925, 129.0347397]"
1323,35.17367055,129.0309267,"[35.17367055, 129.0309267]","[35.17367055, 129.0309267]"
1324,35.17385365,129.0309846,"[35.17385365, 129.0309846]","[35.17385365, 129.0309846]"
1325,35.17370848,129.0311579,"[35.17370848, 129.0311579]","[35.17370848, 129.0311579]"
1326,35.17382882,129.0311356,"[35.17382882, 129.0311356]","[35.17382882, 129.0311356]"
1327,35.16916762,129.0331094,"[35.16916762, 129.0331094]","[35.16916762, 129.0331094]"
1328,35.1691619,129.0334026,"[35.1691619, 129.0334026]","[35.1691619, 129.0334026]"
1329,35.16928965,129.0333218,"[35.16928965, 129.0333218]","[35.16928965, 129.0333218]"
1330,35.14802074,129.0613937,"[35.14802074, 129.0613937]","[35.14802074, 129.0613937]"
1331,35.17205904,129.0287115,"[35.17205904, 129.0287115]","[35.17205904, 129.0287115]"
1332,35.17201565,129.0285005,"[35.17201565, 129.0285005]","[35.17201565, 129.0285005]"
1333,35.17186842,129.028458,"[35.17186842, 129.028458]","[35.17186842, 129.028458]"
1334,35.15774959,129.0637683,"[35.15774959, 129.0637683]","[35.15774959, 129.0637683]"
1335,35.17187319,129.0286996,"[35.17187319, 129.0286996]","[35.17187319, 129.0286996]"
1336,35.17313252,129.0318983,"[35.17313252, 129.0318983]","[35.17313252, 129.0318983]"
1337,35.15762789,129.0682613,"[35.15762789, 129.0682613]","[35.15762789, 129.0682613]"
1338,35.15795393,129.0682094,"[35.15795393, 129.0682094]","[35.15795393, 129.0682094]"
1339,35.1415711,129.0621851,"[35.1415711, 129.0621851]","[35.1415711, 129.0621851]"
1340,35.14769365,129.0343942,"[35.14769365, 129.0343942]","[35.14769365, 129.0343942]"
1341,35.15114338,129.0298132,"[35.15114338, 129.0298132]","[35.15114338, 129.0298132]"
1342,35.15101672,129.0299431,"[35.15101672, 129.0299431]","[35.15101672, 129.0299431]"
1343,35.151335,129.0299057,"[35.151335, 129.0299057]","[35.151335, 129.0299057]"
1344,35.15060112,129.0684016,"[35.15060112, 129.0684016]","[35.15060112, 129.0684016]"
1345,35.14900681,129.0300421,"[35.14900681, 129.0300421]","[35.14900681, 129.0300421]"
1346,35.16163107,129.034045,"[35.16163107, 129.034045]","[35.16163107, 129.034045]"
1347,35.16113149,129.0342039,"[35.16113149, 129.0342039]","[35.16113149, 129.0342039]"
1348,35.16071398,129.0705325,"[35.16071398, 129.0705325]","[35.16071398, 129.0705325]"
1349,35.17644287,129.0317114,"[35.17644287, 129.0317114]","[35.17644287, 129.0317114]"
1350,35.17328319,129.0303895,"[35.17328319, 129.0303895]","[35.17328319, 129.0303895]"
1351,35.17311086,129.030153,"[35.17311086, 129.030153]","[35.17311086, 129.030153]"
1352,35.14490423,129.0596025,"[35.14490423, 129.0596025]","[35.14490423, 129.0596025]"
1353,35.16267006,129.0618146,"[35.16267006, 129.0618146]","[35.16267006, 129.0618146]"
1354,35.16591599,129.0586471,"[35.16591599, 129.0586471]","[35.16591599, 129.0586471]"
1355,35.16652194,129.0597963,"[35.16652194, 129.0597963]","[35.16652194, 129.0597963]"
1356,35.16665092,129.060069,"[35.16665092, 129.060069]","[35.16665092, 129.060069]"
1357,35.16641378,129.0600506,"[35.16641378, 129.0600506]","[35.16641378, 129.0600506]"
1358,35.16471032,129.0557268,"[35.16471032, 129.0557268]","[35.16471032, 129.0557268]"
1359,35.15319149,129.0251036,"[35.15319149, 129.0251036]","[35.15319149, 129.0251036]"
1360,35.17380094,129.0491741,"[35.17380094, 129.0491741]","[35.17380094, 129.0491741]"
1361,35.16429704,129.0538709,"[35.16429704, 129.0538709]","[35.16429704, 129.0538709]"
1362,35.16396174,129.0539101,"[35.16396174, 129.0539101]","[35.16396174, 129.0539101]"
1363,35.16418091,129.0543541,"[35.16418091, 129.0543541]","[35.16418091, 129.0543541]"
1364,35.18052675,129.050971,"[35.18052675, 129.050971]","[35.18052675, 129.050971]"
1365,35.17049116,129.0692571,"[35.17049116, 129.0692571]","[35.17049116, 129.0692571]"
1366,35.17358092,129.0729423,"[35.17358092, 129.0729423]","[35.17358092, 129.0729423]"
1367,35.17395344,129.0738965,"[35.17395344, 129.0738965]","[35.17395344, 129.0738965]"
1368,35.1747154,129.0668921,"[35.1747154, 129.0668921]","[35.1747154, 129.0668921]"
1369,35.17434986,129.0675511,"[35.17434986, 129.0675511]","[35.17434986, 129.0675511]"
1370,35.17454837,129.0679577,"[35.17454837, 129.0679577]","[35.17454837, 129.0679577]"
1371,35.17538655,129.0675521,"[35.17538655, 129.0675521]","[35.17538655, 129.0675521]"
1372,35.17185123,129.0672938,"[35.17185123, 129.0672938]","[35.17185123, 129.0672938]"
1373,35.17038588,129.0672282,"[35.17038588, 129.0672282]","[35.17038588, 129.0672282]"
1374,35.17037977,129.0673802,"[35.17037977, 129.0673802]","[35.17037977, 129.0673802]"
1375,35.1718467,129.0674679,"[35.1718467, 129.0674679]","[35.1718467, 129.0674679]"
1376,35.17378092,129.0694553,"[35.17378092, 129.0694553]","[35.17378092, 129.0694553]"
1377,35.17440302,129.0750426,"[35.17440302, 129.0750426]","[35.17440302, 129.0750426]"
1378,35.17418195,129.0613164,"[35.17418195, 129.0613164]","[35.17418195, 129.0613164]"
1379,35.17485163,129.0634256,"[35.17485163, 129.0634256]","[35.17485163, 129.0634256]"
1380,35.17475915,129.0658529,"[35.17475915, 129.0658529]","[35.17475915, 129.0658529]"
1381,35.17510959,129.0768607,"[35.17510959, 129.0768607]","[35.17510959, 129.0768607]"
1382,35.17580424,129.0734853,"[35.17580424, 129.0734853]","[35.17580424, 129.0734853]"
1383,35.17608489,129.0737049,"[35.17608489, 129.0737049]","[35.17608489, 129.0737049]"
1384,35.16662668,129.0503779,"[35.16662668, 129.0503779]","[35.16662668, 129.0503779]"
1385,35.16949298,129.0517463,"[35.16949298, 129.0517463]","[35.16949298, 129.0517463]"
1386,35.16309525,129.0653476,"[35.16309525, 129.0653476]","[35.16309525, 129.0653476]"
1387,35.14510109,129.0592789,"[35.14510109, 129.0592789]","[35.14510109, 129.0592789]"
1388,35.14137318,129.061049,"[35.14137318, 129.061049]","[35.14137318, 129.061049]"
1389,35.14137905,129.0618687,"[35.14137905, 129.0618687]","[35.14137905, 129.0618687]"
1390,35.14138679,129.0624144,"[35.14138679, 129.0624144]","[35.14138679, 129.0624144]"
1391,35.17445106,129.0547958,"[35.17445106, 129.0547958]","[35.17445106, 129.0547958]"
1392,35.17349151,129.0548836,"[35.17349151, 129.0548836]","[35.17349151, 129.0548836]"
1393,35.15779549,129.0679531,"[35.15779549, 129.0679531]","[35.15779549, 129.0679531]"
